"CATCH_COMP_ID","EVENT_ID","RACE_CODE","SPECIES_NAME_FIELD","COMMON_NAME","SCIENTIFIC_NAME","SCAL_SIZE_CLASS","CONDITION_CODE_RII","COUNT","SAMPLE_WT_KG","SAMPLE_TYPE","SAMPLER","BASKET_ID"
5724498,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,34.740000,"1","JDM, NWN, MMB, SRW",
5724499,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,32.180000,"1","JDM, NWN, MMB, SRW",
5724500,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,46.500000,"1","JDM, NWN, MMB, SRW",
5724501,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,39.542000,"1","JDM, NWN, MMB, SRW",
5724502,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,40.400000,"1","JDM, NWN, MMB, SRW",
5724503,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,34.960000,"1","JDM, NWN, MMB, SRW",
5724504,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,41.400000,"1","JDM, NWN, MMB, SRW",
5724505,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,30.360000,"1","JDM, NWN, MMB, SRW",
5724506,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,29.800000,"1","JDM, NWN, MMB, SRW",
5724507,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,28.680000,"1","JDM, NWN, MMB, SRW",
5724508,"2017D06010","78403","octopus, North Pacific","octopus, North Pacific","Enteroctopus dofleini",,,1,0.140000,"1","JDM, NWN, MMB, SRW",
5724509,"2017D06010","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,2,0.040000,"1","JDM, NWN, MMB, SRW",
5724510,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",9,3.000000,"1","JDM, NWN, MMB, SRW",
5724511,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",15,5.240000,"1","JDM, NWN, MMB, SRW",
5724512,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.290000,"1","JDM, NWN, MMB, SRW",
5724513,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",32,0.850000,"1","JDM, NWN, MMB, SRW",
5724514,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"52",1,0.060000,"1","JDM, NWN, MMB, SRW",
5724515,"2017D06011","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,1.530000,"1","JDM, NWN, MMB, SRW",
5724516,"2017D06011","99997","unsorted catch and debris","unsorted catch and debris",,,,,31.640000,"1","JDM, NWN, MMB, SRW",
5724517,"2017D06011","68020","crab, Dungeness","crab, Dungeness","Cancer magister",,,1,0.373000,"1","JDM, NWN, MMB, SRW",
5724518,"2017D06011","10130","sole, flathead","sole, flathead","Hippoglossoides elassodon",,,1,0.450000,"1","JDM, NWN, MMB, SRW",
5724519,"2017D06011","10270","sole, butter","sole, butter","Isopsetta isolepis",,,1,0.060000,"1","JDM, NWN, MMB, SRW",
5724520,"2017D06011","435","Sandpaper Skate","Sandpaper Skate","Bathyraja interrupta",,,1,1.730000,"1","JDM, NWN, MMB, SRW",
5724521,"2017D06011","99997","unsorted catch and debris","unsorted catch and debris",,,,,12.620000,"2","JDM, NWN, MMB, SRW",
5724522,"2017D06011","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,16,0.260000,"2","JDM, NWN, MMB, SRW",
5724523,"2017D06011","99997","unsorted catch and debris","unsorted catch and debris",,,,,27.260000,"1","JDM, NWN, MMB, SRW",
5724524,"2017D06011","99997","unsorted catch and debris","unsorted catch and debris",,,,,31.820000,"1","JDM, NWN, MMB, SRW",
5724525,"2017D06012","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",2,0.066000,"1","JDM, NWN, MMB, SRW",
5724526,"2017D06012","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.280000,"1","JDM, NWN, MMB, SRW",
5724527,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,35.440000,"1","JDM, NWN, MMB, SRW",
5724528,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,26.160000,"1","JDM, NWN, MMB, SRW",
5724529,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,24.940000,"1","JDM, NWN, MMB, SRW",
5724530,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,26.500000,"1","JDM, NWN, MMB, SRW",
5724531,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,31.540000,"1","JDM, NWN, MMB, SRW",
5724532,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,32.840000,"1","JDM, NWN, MMB, SRW",
5724533,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,30.320000,"1","JDM, NWN, MMB, SRW",
5724534,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,25.900000,"1","JDM, NWN, MMB, SRW",
5724535,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,25.760000,"1","JDM, NWN, MMB, SRW",
5724536,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,23.600000,"1","JDM, NWN, MMB, SRW",
5724537,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,21.340000,"1","JDM, NWN, MMB, SRW",
5724538,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,32.580000,"1","JDM, NWN, MMB, SRW",
5724539,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,32.740000,"1","JDM, NWN, MMB, SRW",
5724540,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,13.520000,"1","JDM, NWN, MMB, SRW",
5724541,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,22.720000,"1","JDM, NWN, MMB, SRW",
5724542,"2017D06012","99997","unsorted catch and debris","unsorted catch and debris",,,,,12.720000,"1","JDM, NWN, MMB, SRW",
5724543,"2017D06012","421","Big skate egg case","Big skate egg case","Raja binoculata egg case",,,1,0.040000,"1","JDM, NWN, MMB, SRW",
5724544,"2017D06012","441","longnose skate egg case","longnose skate egg case","raja rhina egg case",,,27,1.500000,"1","JDM, NWN, MMB, SRW",
5724545,"2017D06012","21910","lingcod","lingcod","Ophiodon elongatus",,,1,0.030000,"1","JDM, NWN, MMB, SRW",
5724546,"2017D06012","10260","sole, rock","sole, rock","Paraplagusia bilineata",,,4,0.160000,"1","JDM, NWN, MMB, SRW",
5724547,"2017D06012","10210","sole, yellowfin","sole, yellowfin","Limanda aspera",,,1,0.200000,"1","JDM, NWN, MMB, SRW",
5724548,"2017D06012","10200","sole, rex","sole, rex","Glyptocephalus zachirus",,,1,0.030000,"1","JDM, NWN, MMB, SRW",
5724549,"2017D06012","10120","halibut, Pacific","halibut, Pacific","Hippoglossus stenolepis",,,1,0.020000,"1","JDM, NWN, MMB, SRW",
5724550,"2017D06012","10180","sole, dover","sole, dover","Microstomus pacificus",,,4,0.130000,"1","JDM, NWN, MMB, SRW",
5724551,"2017D06013","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,1.530000,"1","JDM, NWN, MMB, SRW",
5724552,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,20.060000,"1","JDM, NWN, MMB, SRW",
5724553,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,32.100000,"1","JDM, NWN, MMB, SRW",
5724554,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,28.040000,"1","JDM, NWN, MMB, SRW",
5724555,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,24.180000,"1","JDM, NWN, MMB, SRW",
5724556,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,30.420000,"1","JDM, NWN, MMB, SRW",
5724557,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,22.500000,"1","JDM, NWN, MMB, SRW",
5724558,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,27.680000,"1","JDM, NWN, MMB, SRW",
5724559,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,21.700000,"1","JDM, NWN, MMB, SRW",
5724560,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,23.360000,"1","JDM, NWN, MMB, SRW",
5724561,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,28.740000,"1","JDM, NWN, MMB, SRW",
5724562,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,35.120000,"1","JDM, NWN, MMB, SRW",
5724563,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,28.540000,"1","JDM, NWN, MMB, SRW",
5724564,"2017D06013","99997","unsorted catch and debris","unsorted catch and debris",,,,,11.920000,"2","JDM, NWN, MMB, SRW",
5724565,"2017D06013","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,3,0.030000,"2","JDM, NWN, MMB, SRW",
5724566,"2017D06013","401","skate egg case unident.","skate egg case unident.",,,,2,0.540000,"1","JDM, NWN, MMB, SRW",
5724567,"2017D06013","10180","sole, dover","sole, dover","Microstomus pacificus",,,3,0.090000,"1","JDM, NWN, MMB, SRW",
5724568,"2017D06013","10210","sole, yellowfin","sole, yellowfin","Limanda aspera",,,1,0.100000,"1","JDM, NWN, MMB, SRW",
5724569,"2017D06013","10260","sole, rock","sole, rock","Paraplagusia bilineata",,,5,0.240000,"1","JDM, NWN, MMB, SRW",
5724570,"2017D06014","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",1,0.360000,"1","JDM, NWN, MMB, SRW",
5724571,"2017D06014","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",1,0.010000,"1","JDM, NWN, MMB, SRW",
5724572,"2017D06014","99997","unsorted catch and debris","unsorted catch and debris",,,,,17.840000,"1","JDM, NWN, MMB, SRW",
5724573,"2017D06014","99997","unsorted catch and debris","unsorted catch and debris",,,,,16.420000,"1","JDM, NWN, MMB, SRW",
5724574,"2017D06014","99997","unsorted catch and debris","unsorted catch and debris",,,,,6.100000,"1","JDM, NWN, MMB, SRW",
5724575,"2017D06014","99997","unsorted catch and debris","unsorted catch and debris",,,,,15.000000,"1","JDM, NWN, MMB, SRW",
5724576,"2017D06014","99997","unsorted catch and debris","unsorted catch and debris",,,,,9.860000,"1","JDM, NWN, MMB, SRW",
5724577,"2017D06014","421","Big skate egg case","Big skate egg case","Raja binoculata egg case",,"99",3,0.860000,"1","JDM, NWN, MMB, SRW",
5724578,"2017D06014","441","longnose skate egg case","longnose skate egg case","raja rhina egg case",,"99",2,0.190000,"1","JDM, NWN, MMB, SRW",
5724579,"2017D06014","10285","flounder, Alaska plaice","flounder, Alaska plaice","Pleuronectes quadrituberculatus",,,3,1.840000,"1","JDM, NWN, MMB, SRW",
5724580,"2017D06014","10130","sole, flathead","sole, flathead","Hippoglossoides elassodon",,,8,0.200000,"1","JDM, NWN, MMB, SRW",
5724581,"2017D06014","10180","sole, dover","sole, dover","Microstomus pacificus",,,1,0.040000,"1","JDM, NWN, MMB, SRW",
5724582,"2017D06014","10200","sole, rex","sole, rex","Glyptocephalus zachirus",,,2,0.020000,"1","JDM, NWN, MMB, SRW",
5724583,"2017D06014","10270","sole, butter","sole, butter","Isopsetta isolepis",,,14,0.150000,"1","JDM, NWN, MMB, SRW",
5724584,"2017D06014","10210","sole, yellowfin","sole, yellowfin","Limanda aspera",,,4,0.090000,"1","JDM, NWN, MMB, SRW",
5724585,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",8,2.170000,"1","JDM, NWN, MMB, SRW",
5724586,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",330,2.510000,"1","JDM, NWN, MMB, SRW",
5724587,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",98,2.410000,"1","JDM, NWN, MMB, SRW",
5724588,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",166,3.740000,"1","JDM, NWN, MMB, SRW",
5724589,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.134000,"1","JDM, NWN, MMB, SRW",
5724590,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",33,0.610000,"1","JDM, NWN, MMB, SRW",
5724591,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"52",2,0.290000,"1","JDM, NWN, MMB, SRW",
5724592,"2017D06015","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,1.530000,"1","JDM, NWN, MMB, SRW",
5724593,"2017D06015","99997","unsorted catch and debris","unsorted catch and debris",,,,,16.120000,"1","JDM, NWN, MMB, SRW",
5724594,"2017D06015","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,38,0.620000,"2","JDM, NWN, MMB, SRW",
5724595,"2017D06015","99997","unsorted catch and debris","unsorted catch and debris",,,,,10.660000,"1","JDM, NWN, MMB, SRW",
5724596,"2017D06015","99997","unsorted catch and debris","unsorted catch and debris",,,,,3.860000,"2","JDM, NWN, MMB, SRW",
5724597,"2017D06015","10130","sole, flathead","sole, flathead","Hippoglossoides elassodon",,,3,0.110000,"1","JDM, NWN, MMB, SRW",
5724598,"2017D06015","10200","sole, rex","sole, rex","Glyptocephalus zachirus",,,1,0.020000,"1","JDM, NWN, MMB, SRW",
5724599,"2017D06015","10180","sole, dover","sole, dover","Microstomus pacificus",,,1,0.030000,"1","JDM, NWN, MMB, SRW",
5724600,"2017D06015","10270","sole, butter","sole, butter","Isopsetta isolepis",,,2,0.020000,"1","JDM, NWN, MMB, SRW",
5724601,"2017D06015","421","Big skate egg case","Big skate egg case","Raja binoculata egg case",,"01",1,0.430000,"1","JDM, NWN, MMB, SRW",
5724602,"2017D06016","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,2.390000,"1","JDM, NWN, MMB, SRW",
5724603,"2017D06016","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",6,1.200000,"1","JDM, NWN, MMB, SRW",
5724604,"2017D06016","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",425,5.440000,"1","JDM, NWN, MMB, SRW",
